title,year,rated,released,runtime,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metaCriticRating,metascore,rating,type,boxoffice,production
The Lone Ranger,2013,PG-13,Wed Jul 03 2013 00:00:00 GMT-0400 (EDT),150 min,Action; Adventure; Western,Gore Verbinski,Johnny Depp; Armie Hammer; William Fichtner; Tom Wilkinson,In the 1930s an elderly Tonto tells a young boy the tale of John Reid the Lone Ranger An idealistic lawyer he rides with his brother and fellow Texas Rangers in pursuit of the notorious Butch Cavendish Ambushed by the outlaw and left for dead John Reid is rescued by the renegade Comanche Tonto at the insistence of a mysterious white horse and offers to help him to bring Cavendish to justice Becoming a reluctant masked rider with a seemingly incomprehensible partner Reid pursues the criminal against all obstacles However John and Tonto learn that Cavendish is only part of a far greater injustice and the pair must fight it in an adventure that would make them a legend,English; North American Indian,USA,Nominated for 2 Oscars Another 4 wins & 17 nominations,6.5/10,31%,37/100,37,6.5,movie,"$89,289,910",Walt Disney Pictures
Last Vegas,2013,PG-13,Fri Nov 01 2013 00:00:00 GMT-0400 (EDT),105 min,Comedy,Jon Turteltaub,Michael Douglas; Robert De Niro; Morgan Freeman; Kevin Kline,Billy (Michael Douglas) Paddy (Robert De Niro) Archie (Morgan Freeman) and Sam (Kevin Kline) have been best friends since childhood So when Billy the groups sworn bachelor finally proposes to his thirty-something (of course) girlfriend the four head to Las Vegas with a plan to stop acting their age and relive their glory days However upon arriving the four quickly realize that the decades have transformed Sin City and tested their friendship in ways they never imagined The Rat Pack may have once played the Sands and Cirque du Soleil may now rule the Strip but its these four who are taking over Vegas,English,USA,4 wins & 1 nomination,6.6/10,45%,48/100,48,6.6,movie,"$51,434,214",CBS Films
Kink,2013,UNRATED,Sat Jan 19 2013 00:00:00 GMT-0500 (EST),80 min,Documentary,Christina Voros,Peter Acworth; Maitresse Madeline; Chris Norris; Tomcat,Director Christina Voros and producer James Franco pull back the curtain on the fetish empire of Kinkcom the Internets largest producer of BDSM content In a particularly obscure corner of an industry that operates largely out of public view Kinkcoms directors and models strive for authenticity In an enterprise often known for exploitative practices Kinkcom upholds an ironclad set of values to foster an environment that is safe sane and consensual They aim to demystify the BDSM lifestyle and to serve as an example and an educational resource for the BDSM community In kink we discover not only a fascinating and often misunderstood subculture but also in a career far from the mainstream a group of intelligent charismatic and driven people who really truly love what they do,English,USA,N/A,6.3/10,86%,67/100,67,6.3,movie,N/A,Kink.Com
Koch,2012,NOT RATED,Mon Oct 08 2012 00:00:00 GMT-0400 (EDT),100 min,Documentary; Biography; History,Neil Barsky,Ed Koch; Michael Bloomberg; Calvin O. Butts III; Carl McCall,Three-time New York City Mayor (1978-1989) Ed Koch was combative funny and blunt He was also intensely private Koch gives us a contemporary history of the worlds greatest city and an intimate portrait of the 86-year old former mayor as he confronts his own mortality and legacy The film examines issues still relevant today - race homelessness AIDS and gay rights - and gives us a window into the trials and tribulations of the nations most famous mayor in the worlds most wondrous city,English,USA,N/A,6.3/10,89%,71/100,71,6.3,movie,"$342,212",Zeitgeist Films
It's a Disaster,2012,R,Fri Jun 07 2013 00:00:00 GMT-0400 (EDT),88 min,Comedy; Drama,Todd Berger,Rachel Boston; Kevin M. Brennan; David Cross; America Ferrera,Eight friends meet for their monthly couples brunch But what starts as an impromptu therapy session/airing of domestic grievances takes a sudden catastrophic turn when the city falls victim to a mysterious attack Trapped in the house and unsure of their fates these seemingly normal people become increasingly unhinged to surprising results,English,USA,3 wins,6.5/10,78%,57/100,57,6.5,movie,"$57,216",Oscilloscope Laboratories
Kiss of the Damned,2012,R,Thu Mar 28 2013 00:00:00 GMT-0400 (EDT),97 min,Drama; Horror; Romance,Xan Cassavetes,Joséphine de La Baume; Roxane Mesquida; Milo Ventimiglia; Caitlin Keats,In the countryside near to New York Djuna lives alone with her housemaid Irene in a manor that belongs to her friend Xenia When she meets the screenwriter Paolo at a video rental store they immediately fall in love with each other However Djuna discloses to Paolo that she is a vampire and while making love she turns him into one Paolo moves to her house and they happily live together Out of the blue her wicked and troublemaker sister Mimi appears to stay for a week with them turning their lives upside-down,English,USA,1 win & 6 nominations,5.6/10,59%,48/100,48,5.6,movie,"$9,167",Magnolia Pictures
Justice League: The Flashpoint Paradox,2013,PG-13,Tue Jul 30 2013 00:00:00 GMT-0400 (EDT),75 min,Animation; Action; Adventure,Jay Oliva,Justin Chambers; C. Thomas Howell; Michael B. Jordan; Kevin McKidd,An alteration of the timeline for the superhero The Flash The Flash must team with other heroes to restore the timeline while the Earth is ravaged by a war between Aquamans Atlantis and Wonder Womans Amazons,English,USA,N/A,8.2/10,100%,N/A,N/A,8.2,movie,N/A,WARNER BROTHERS PICTURES
Liars All,2013,R,Tue Aug 06 2013 00:00:00 GMT-0400 (EDT),92 min,Thriller,Brian Brightly,Matt Lanter; Sara Paxton; Torrance Coombs; Alice Evans,On New Years eve in London a provocative game spins out of control and ends in murder the true killer elusive amidst conflicting testimony and hidden motives,English,USA,N/A,4.3/10,N/A,N/A,N/A,4.3,movie,N/A,Phase 4 Films
Medora,2013,N/A,Invalid Date,100 min,Documentary; Sport,Andrew Cohn; Davy Rothbart,N/A,In Americas basketball heartland four boys from rural Medora Indiana fight to end their high schools teams losing streak as their dwindling town faces the threat of extinction,English,USA,2 wins & 1 nomination,7.0/10,92%,64/100,64,7,movie,N/A,FilmBuff
Joe,2013,R,Fri Apr 11 2014 00:00:00 GMT-0400 (EDT),117 min,Crime; Drama,David Gordon Green,Nicolas Cage; Tye Sheridan; Gary Poulter; Ronnie Gene Blevins,In order to provide for his destitute family of drifters a likable sincere able-bodied 15-year-old boy comes to hire on among a burned-out ex-cons group of aging forest laborers As the man becomes more and more aware of the boys abusive home life his deeply buried humanity is roused Drinking and smoking incessantly to remain detached from his volatile temper he finally takes the matter into his own hands - come what may - when the boys alcoholic father finally goes too far,English,USA,4 wins & 9 nominations,6.9/10,85%,74/100,74,6.9,movie,"$257,588",Roadside Attractions
Java Heat,2013,R,Thu May 09 2013 00:00:00 GMT-0400 (EDT),104 min,Action; Crime; Drama,Conor Allyn,Kellan Lutz; Ario Bayu; Mickey Rourke; Verdi Solaiman,Story centers on the aftermath of a suicide bombing in Indonesia where a reckless American posing as a grad student is bent on vengeance but quickly finds that the worlds problems cant be solved with violence alone A mysterious American Marine/FBI agent Jake Travers (Kellan Lutz) teams with a Muslim cop Hashim (Ario Bayu) to hunt down a dangerous international jewel thief Malik (Mickey Rourke) who kidnaps a Sultans daughter Sultana (Atiqah Hasiholan) in a plot to steal the royal treasury: exotic intrigue amid ancient palaces mosques temples subterranean labyrinths and stone pyramids in the heart of Java,English; Indonesian,USA,N/A,5.2/10,8%,35/100,35,5.2,movie,N/A,IFC Films
The Lost Medallion: The Adventures of Billy Stone,2013,PG,Thu Oct 03 2013 00:00:00 GMT-0400 (EDT),97 min,Adventure; Family; Fantasy,Bill Muir,William Brent; Sammi Hanratty; James Hong; Jansen Panettiere,Archaeologist Dr Michael Stone looked for the lost medallion his entire life and now his son Billy has taken up the search Amazingly the medallion ends up in Billys hands and a spontaneous wish in a precarious situation takes him and his best friend Allie back 200 years to what they realize is a very different Aumakua Island When Billy and his friends are not jumping off waterfalls avoiding animal traps crossing the ocean sneaking through caves or escaping a prison theyre facing their nemesis Cobra who wants nothing more than for them all to disappear With no other way to get home and the well-being of the entire island resting on his shoulders Billy must discover the key to reclaiming the medallion and its tremendous power One way or another this adventure will change Billy and life on the island forever,English,Thailand,1 nomination,4.8/10,N/A,N/A,N/A,4.8,movie,N/A,Independent Pictures
The Lords of Salem,2012,R,Thu Apr 18 2013 00:00:00 GMT-0400 (EDT),101 min,Horror; Thriller,Rob Zombie,Sheri Moon Zombie; Bruce Davison; Jeff Daniel Phillips; Judy Geeson,Heidi a blond rock chick DJs at a local radio station and together with the two Hermans (Whitey and Munster) forms part of the Big H Radio Team A mysterious wooden box containing a vinyl record arrives for Heidi a gift of the Lords She assumes its a rock band on a mission to spread their word As Heidi and Whitey play the Lords record it starts to play backwards and Heidi experiences a flashback to a past trauma Later Whitey plays the Lords record dubbing them the Lords of Salem and to his surprise the record plays normally and is a massive hit with his listeners The arrival of another wooden box from the Lords presents the Big H team with free tickets posters and records to host a gig in Salem Soon Heidi and her cohorts are far from the rock spectacle theyre expecting The original Lords of Salem are returning and theyre out for blood,English,USA; UK; Canada,1 win & 3 nominations,5.1/10,45%,57/100,57,5.1,movie,"$1,000,000",Anchor Bay Films
The Marine 3: Homefront,2013,R,Tue Mar 05 2013 00:00:00 GMT-0500 (EST),86 min,Action; Thriller,Scott Wiper,Mike 'The Miz' Mizanin; Neal McDonough; Ashley Bell; Camille Sullivan,A Marine must do whatever it takes to save his kidnapped sister and stop a terrorist attack masterminded by a radical militia group,English,USA,N/A,4.9/10,N/A,N/A,N/A,4.9,movie,N/A,Twentieth Century Fox Home Entertainment
Machete Kills,2013,R,Fri Oct 11 2013 00:00:00 GMT-0400 (EDT),107 min,Action; Crime; Sci-Fi,Robert Rodriguez,Danny Trejo; Mel Gibson; Demián Bichir; Amber Heard,During an operation of a Mexican Cartel Machete Cortez and Sartana Rivera intercept the criminals alone but another group arrives and a masked man kills Sartana Machete is arrested accused of killing his beloved Sartana and Sheriff Doakes hangs Machete But the President of the USA Rathcock pardons and recruits Machete to kill the revolutionary Marcos Mendez that has threatened the USA with a missile with a bomb Machete goes to San Antonio to meet the Miss San Antonio Blanca Vasquez that will be the liaison between Machete and President Rathcock Then Machete goes to the brothel of Madame Desdemona to seek out the prostitute Cereza that is Mendezs mistress Machete meets Mendez and learns that his heart is connected to the missile and only the arm dealer Luther Voz is capable to disarm the bomb Now Machete needs to bring Mendez to the USA in less than twenty-four hours and save his new country in a dangerous journey with betrayals,English; Spanish,Russia; USA,3 nominations,5.6/10,28%,41/100,41,5.6,movie,"$5,658,869",Open Road
Iron Man 3,2013,PG-13,Fri May 03 2013 00:00:00 GMT-0400 (EDT),130 min,Action; Adventure; Sci-Fi,Shane Black,Robert Downey Jr.; Gwyneth Paltrow; Don Cheadle; Guy Pearce,Marvels Iron Man 3 pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds When Stark finds his personal world destroyed at his enemys hands he embarks on a harrowing quest to find those responsible This journey at every turn will test his mettle With his back against the wall Stark is left to survive by his own devices relying on his ingenuity and instincts to protect those closest to him As he fights his way back Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man?,English,China; USA,Nominated for 1 Oscar Another 17 wins & 61 nominations,7.2/10,80%,62/100,62,7.2,movie,"$408,992,272",Walt Disney Pictures
